Datum,Uhrzeit,Vorbehandlungszone,Reinigerkonzentration,Temperatur,Leitwert,pHWert,Pumpendruck,Bakterienbelastungsgrad
2024-07-23,7:00:00,Spülen 3,0.0,34.3,7.8,5.3,1.1,10
2024-07-23,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-07-24,7:00:00,Entfetten,0.6,49.0,670.0,7.7,1.1,10
2024-07-24,7:00:00,Spülen 1,0.0,45.5,185.0,7.2,1.1,10
2024-07-24,7:00:00,Spülen 2,0.0,41.6,25.0,7.2,1.0,10
2024-07-24,7:00:00,Spülen 3,0.0,38.4,8.7,6.3,1.0,10
2024-07-24,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,322.0,10
2024-08-08,7:30:01,Entfetten,0.6,45.9,1044.0,7.9,1.1,10
2024-08-08,7:30:01,Spülen 1,0.0,42.9,448.0,7.5,1.0,10
2024-08-08,7:30:01,Spülen 2,0.0,40.9,290.0,7.4,1.0,10
2024-08-08,7:30:01,Spülen 3,0.0,37.0,25.0,6.7,1.0,10
2024-07-24,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-09,7:30:01,Entfetten,0.6,45.7,1130.0,7.8,1.0,10
2024-08-09,7:30:01,Spülen 1,0.0,43.1,449.0,7.4,1.0,10
2024-08-09,7:30:01,Spülen 2,0.0,41.1,197.0,7.1,1.0,10
2024-08-09,7:30:01,Spülen 3,0.0,39.1,24.0,6.9,1.1,10
2024-08-09,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-12,7:30:01,Entfetten,0.6,46.1,1098.0,8.0,1.0,10
2024-08-12,7:30:01,Spülen 1,0.0,44.8,448.0,7.5,1.0,10
2024-08-12,7:30:01,Spülen 2,0.0,41.0,210.0,7.3,1.0,10
2024-08-12,7:30:01,Spülen 3,0.0,38.0,25.1,7.1,1.0,10
2024-08-12,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-13,7:40:01,Entfetten,1.1,44.9,1411.0,7.8,1.1,10
2024-08-13,7:40:01,Spülen 1,0.0,44.3,457.0,7.8,1.0,10
2024-08-13,7:40:01,Spülen 2,0.0,40.7,299.0,7.5,1.0,10
2024-08-13,7:40:01,Spülen 3,0.0,39.1,29.7,7.0,1.0,10
2024-08-13,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-14,7:50:01,Entfetten,1.1,45.1,1410.0,7.9,1.0,10
2024-08-14,7:50:01,Spülen 1,0.0,44.1,459.0,7.9,1.0,10
2024-08-14,7:50:01,Spülen 2,0.0,41.3,311.0,7.5,1.0,10
2024-08-14,7:50:01,Spülen 3,0.0,40.2,28.6,7.4,1.1,10
2024-08-14,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-15,8:00:01,Entfetten,1.1,44.7,1410.0,8.0,1.1,10
2024-08-15,8:00:01,Spülen 1,0.0,43.9,456.0,7.7,1.0,10
2024-08-15,8:00:01,Spülen 2,0.0,41.4,380.0,7.4,1.0,10
2024-08-15,8:00:01,Spülen 3,0.0,41.9,29.7,7.3,1.1,10
2024-08-15,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-16,8:00:01,Entfetten,1.1,45.1,1412.0,8.0,1.0,10
2024-08-16,8:00:01,Spülen 1,0.0,43.8,481.0,7.8,1.0,10
2024-08-16,8:00:01,Spülen 2,0.0,41.2,410.0,7.6,1.1,10
2024-08-16,8:00:01,Spülen 3,0.0,39.1,36.7,7.0,1.0,10
2024-08-16,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-19,6:50:01,Entfetten,1.1,45.1,1411.0,8.0,1.0,10
2024-08-19,6:50:01,Spülen 1,0.0,44.1,591.0,7.8,1.1,10
2024-08-19,6:50:01,Spülen 2,0.0,41.5,408.0,7.5,1.0,10
2024-08-19,6:50:01,Spülen 3,0.0,39.7,19.9,7.0,1.0,10
2024-08-19,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-20,6:50:01,Entfetten,1.1,45.9,1410.0,8.2,1.1,10
2024-08-20,6:50:01,Spülen 1,0.0,43.1,760.0,7.9,1.0,10
2024-08-20,6:50:01,Spülen 2,0.0,41.0,407.0,7.5,1.0,10
2024-08-20,6:50:01,Spülen 3,0.0,39.0,16.0,7.4,1.1,10
2024-08-20,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-21,6:45:01,Entfetten,1.2,44.9,1418.0,6.97,1.0,10
2024-08-21,6:45:01,Spülen 1,0.0,44.3,458.0,7.9,1.1,10
2024-08-21,6:45:01,Spülen 2,0.0,41.9,138.0,7.9,1.0,10
2024-08-21,6:45:01,Spülen 3,0.0,38.7,24.7,7.3,1.0,10
2024-08-21,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-22,6:45:01,Entfetten,1.1,44.8,1564.0,8.2,1.0,10
2024-08-22,6:45:01,Spülen 1,0.0,44.7,484.0,7.9,1.0,10
2024-08-22,6:45:01,Spülen 2,0.0,41.0,195.0,7.6,1.1,10
2024-08-22,6:45:01,Spülen 3,0.0,40.3,28.0,7.1,1.0,10
2024-08-22,7:00:01,VE-Sprühkranz,0.0,0.0,6.0,0.0,320.0,10
2024-08-24,21:09:00,Entfetten,1.0,46.7,1400,8.0,1.2,100
